	Cluster	week	outlier
SRR12379543	C11	NA	1
SRR12379544	C17	13	1
SRR12379545	C11	NA	1
SRR12379548	C13	NA	0
SRR12379549	C10	13	0
SRR12379550	C11	NA	0
SRR12379551	C08	NA	0
SRR12379552	C11	15	0
SRR12379553	C11	NA	0
SRR12379555	C11	NA	0
SRR12379556	C11	15	0
SRR12379557	C11	NA	0
SRR12379559	C11	NA	0
SRR12379560	C11	15	0
SRR12379561	C09	NA	0
SRR12379562	C08	NA	0
SRR12379563	C07	15	0
SRR12379564	C11	NA	0
SRR12379566	C18	NA	0
SRR12379567	C18	15	0
SRR12379568	C11	NA	0
SRR12379569	C11	NA	0
SRR12379571	C11	15	0
SRR12379572	C11	NA	0
SRR12379573	C11	NA	0
SRR12379574	C08	14	0
SRR12379575	C11	NA	0
SRR12379577	C11	NA	0
SRR12379578	C07	14	0
SRR12379579	C18	NA	0
SRR12379580	C11	NA	0
SRR12379581	C11	14	0
SRR12379612	C10	NA	0
SRR12379616	C18	NA	0
SRR12379617	C18	14	0
SRR12379618	C11	NA	0
SRR12379619	C16	NA	0
SRR12379621	C11	14	0
SRR12379622	C11	NA	0
SRR12379623	C11	NA	0
SRR12379625	C11	14	0
SRR12379626	C11	NA	0
SRR12379627	C11	NA	0
SRR12379628	C11	14	0
SRR12379629	C11	NA	0
SRR12379630	C10	NA	0
SRR12379632	C11	13	0
SRR12379633	C11	NA	0
SRR12379634	C11	NA	0
SRR12379635	C16	14	0
SRR12379637	C11	NA	0
SRR12379638	C11	NA	0
SRR12379639	C10	14	0
SRR12379640	C11	NA	0
SRR12379641	C18	NA	0
SRR12379642	C18	14	0
SRR12379644	C11	NA	0
SRR12379645	C11	NA	0
SRR12379646	C11	14	1
SRR12379647	C11	NA	0
SRR12379649	C08	NA	0
SRR12379650	C18	14	0
SRR12379651	C11	NA	0
SRR12379652	C11	NA	0
SRR12379653	C08	17	0
SRR12379656	C11	NA	0
SRR12379657	C18	NA	0
SRR12379658	C11	16	0
SRR12379660	C08	NA	0
SRR12379664	C11	NA	0
SRR12379666	C18	13	0
SRR12379667	C01	NA	0
SRR12379672	C11	NA	0
SRR12379675	C11	17	0
SRR12379678	C07	NA	0
SRR12379681	C04	NA	0
SRR12379682	C10	11	0
SRR12379683	C11	NA	0
SRR12379684	C11	NA	0
SRR12379685	C18	11	0
SRR12379686	C11	NA	0
SRR12379687	C11	NA	0
SRR12379688	C11	14	0
SRR12379689	C16	NA	0
SRR12379691	C18	NA	0
SRR12379692	C11	14	0
SRR12379693	C11	NA	0
SRR12379694	C18	NA	0
SRR12379696	C10	14	0
SRR12379697	C16	NA	0
SRR12379698	C11	NA	0
SRR12379699	C11	14	1
SRR12379700	C16	NA	0
SRR12379702	C11	NA	0
SRR12379703	C10	14	1
SRR12379704	C10	NA	0
SRR12379705	C11	NA	0
SRR12379706	C07	13	1
SRR12379707	C11	NA	0
SRR12379708	C16	NA	0
SRR12379709	C11	13	1
SRR12379710	C10	NA	0
SRR12379711	C18	NA	0
SRR12379713	C11	13	0
SRR12379714	C11	NA	0
SRR12379715	C07	NA	0
SRR12379716	C11	13	0
SRR12379717	C11	NA	0
SRR12379718	C11	NA	0
SRR12379719	C07	13	0
SRR12379720	C10	NA	0
SRR12379721	C11	NA	0
SRR12379722	C11	13	0
SRR12379725	C11	NA	0
SRR12379726	C11	NA	0
SRR12379727	C11	11	0
SRR12379730	C17	NA	0
SRR12379731	C08	NA	0
SRR12379732	C18	16	0
SRR12379734	C11	NA	0
SRR12379735	C11	NA	0
SRR12379737	C10	16	1
SRR12379741	C11	NA	0
SRR12379743	C11	NA	0
SRR12379744	C18	12	1
SRR12379745	C11	NA	0
SRR12379746	C11	NA	0
SRR12379749	C11	12	0
SRR12379751	C09	NA	0
SRR12379752	C18	NA	0
SRR12379753	C09	12	0
SRR12379754	C11	NA	0
SRR12379755	C11	NA	0
SRR12379756	C11	12	0
SRR12379757	C07	NA	0
SRR12379759	C17	NA	0
SRR12379760	C10	13	0
SRR12379761	C04	NA	0
SRR12379762	C11	NA	0
SRR12379763	C11	13	0
SRR12379765	C11	NA	0
SRR12379766	C11	NA	0
SRR12379767	C11	13	0
SRR12379768	C11	NA	0
SRR12379769	C11	NA	0
SRR12379771	C11	13	0
SRR12379772	C11	NA	0
SRR12379773	C11	NA	0
SRR12379774	C11	13	0
SRR12379775	C04	NA	0
SRR12379778	C11	NA	0
SRR12379779	C18	14	0
SRR12379780	C18	NA	0
SRR12379781	C09	NA	0
SRR12379782	C11	14	0
SRR12379792	C11	NA	0
SRR12379794	C11	NA	1
SRR12379795	C11	12	0
SRR12379796	C18	NA	0
SRR12379797	C10	NA	0
SRR12379798	C07	12	0
SRR12379799	C07	NA	0
SRR12379800	C11	NA	0
SRR12379801	C08	12	1
SRR12379802	C11	NA	0
SRR12379804	C18	NA	0
SRR12379805	C07	12	0
SRR12379806	C11	NA	0
SRR12379807	C18	NA	0
SRR12379808	C11	12	0
SRR12379809	C18	NA	0
SRR12379811	C18	NA	0
SRR12379812	C11	12	1
SRR12379813	C11	NA	0
SRR12379815	C11	NA	0
SRR12379816	C08	12	0
SRR12379817	C11	NA	0
SRR12379818	C10	NA	0
SRR12379819	C11	12	0
SRR12379820	C04	NA	0
SRR12379821	C18	NA	0
SRR12379822	C18	11	0
SRR12379823	C11	NA	0
SRR12379824	C11	NA	0
SRR12379826	C11	12	0
SRR12379827	C11	NA	0
SRR12379828	C11	NA	0
SRR12379830	C18	12	0
SRR12379850	C18	NA	0
SRR12379862	C11	NA	1
SRR12379863	C11	12	0
SRR12379864	C11	NA	0
SRR12379865	C11	NA	0
SRR12379866	C11	11	0
SRR12379867	C11	NA	0
SRR12379869	C11	NA	0
SRR12379870	C08	12	0
SRR12379871	C11	NA	0
SRR12379872	C07	NA	0
SRR12379873	C18	12	0
SRR12379874	C11	NA	0
SRR12379876	C10	NA	0
SRR12379877	C11	12	1
SRR12379878	C11	NA	0
SRR12379880	C11	NA	0
SRR12379882	C11	12	0
SRR12379884	C11	NA	0
SRR12379885	C11	NA	0
SRR12379886	C18	11	0
SRR12379887	C18	NA	0
SRR12379888	C11	NA	0
SRR12379889	C11	12	0
SRR12379890	C18	NA	0
SRR12379891	C11	NA	0
SRR12379893	C11	11	1
SRR12379894	C11	NA	0
SRR12379895	C10	NA	0
SRR12379896	C11	12	0
SRR12379897	C11	NA	0
SRR12379898	C01	NA	0
SRR12379909	C04	13	0
SRR12379917	C11	NA	0
SRR12379918	C11	NA	0
SRR12379919	C11	14	0
SRR12379920	C16	NA	0
SRR12379921	C11	NA	0
SRR12379922	C18	14	0
SRR12379923	C11	NA	0
SRR12379924	C11	NA	0
SRR12379925	C10	14	0
SRR12379926	C17	NA	0
SRR12379927	C11	NA	0
SRR12379928	C10	14	0
SRR12379929	C18	NA	0
SRR12379930	C11	NA	0
SRR12379931	C18	13	0
SRR12379932	C11	NA	0
SRR12379933	C08	NA	0
SRR12379934	C04	11	0
SRR12379936	C10	NA	0
SRR12379937	C18	NA	0
SRR12379939	C11	11	0
SRR12379940	C11	NA	0
SRR12379941	C11	NA	0
SRR12379942	C11	12	0
SRR12379943	C18	NA	0
SRR12379944	C11	NA	0
SRR12379945	C11	12	0
SRR12379946	C11	NA	0
SRR12379948	C18	NA	1
SRR12379949	C11	11	0
SRR12379951	C11	NA	0
SRR12379952	C11	NA	0
SRR12379953	C10	11	0
SRR12379954	C11	NA	0
SRR12379955	C11	NA	0
SRR12379956	C18	12	0
SRR12379957	C11	NA	0
SRR12379959	C16	NA	0
SRR12379960	C11	12	0
SRR12379961	C11	NA	0
SRR12379963	C11	NA	0
SRR12379964	C01	12	0
SRR12379965	C11	NA	0
SRR12379966	C11	NA	0
SRR12379967	C11	11	0
SRR12379968	C18	NA	0
SRR12379969	C11	NA	0
SRR12379970	C11	13	0
SRR12379978	C16	NA	0
SRR12379989	C11	NA	0
SRR12380000	C18	11	0
SRR12380001	C18	NA	0
SRR12380002	C08	NA	1
SRR12380003	C11	12	0
SRR12380004	C11	NA	0
SRR12380005	C11	NA	0
SRR12380007	C11	11	0
SRR12380009	C11	NA	0
SRR12380010	C11	NA	0
SRR12380011	C11	12	0
SRR12380013	C10	NA	0
SRR12380014	C11	NA	0
SRR12380015	C04	11	0
SRR12380016	C11	NA	0
SRR12380019	C11	NA	0
SRR12380020	C11	12	0
SRR12380021	C11	NA	0
SRR12380022	C11	NA	0
SRR12380023	C10	13	0
SRR12380024	C11	NA	1
SRR12380025	C11	NA	0
SRR12380026	C11	12	0
SRR12380027	C18	NA	0
SRR12380028	C11	NA	0
SRR12380029	C04	11	0
SRR12380032	C18	NA	0
SRR12380033	C11	NA	0
SRR12380035	C11	13	0
SRR12380036	C18	NA	0
SRR12380048	C11	NA	0
SRR12380059	C18	16	0
SRR12380069	C09	NA	0
SRR12380070	C11	NA	0
SRR12380071	C11	12	0
SRR12380072	C14	NA	1
SRR12380073	C11	NA	0
SRR12380074	C11	11	0
SRR12380075	C10	NA	0
SRR12380077	C11	NA	0
SRR12380078	C18	13	0
SRR12380079	C11	NA	0
SRR12380080	C11	NA	0
SRR12380081	C11	13	0
SRR12380082	C11	NA	0
SRR12380083	C10	NA	0
SRR12380084	C11	13	0
SRR12380085	C11	NA	0
SRR12380086	C18	NA	0
SRR12380087	C07	12	0
SRR12380088	C11	NA	1
SRR12380090	C18	NA	0
SRR12380092	C11	11	0
SRR12380093	C11	NA	0
SRR12380094	C11	NA	0
SRR12380095	C11	11	0
SRR12380096	C02	NA	0
SRR12380098	C04	NA	0
SRR12380100	C11	13	0
SRR12380101	C07	NA	0
SRR12380102	C03	NA	0
SRR12380103	C18	11	0
SRR12380105	C11	NA	0
SRR12380106	C11	NA	0
SRR12380108	C11	14	0
SRR12380111	C11	NA	0
SRR12380113	C18	NA	0
SRR12380114	C11	11	0
SRR12380115	C18	NA	0
SRR12380116	C11	NA	0
SRR12380117	C11	11	0
SRR12380118	C11	NA	0
SRR12380119	C18	NA	0
SRR12380120	C11	14	0
SRR12380121	C11	NA	0
SRR12380122	C11	NA	0
SRR12380123	C11	14	0
SRR12380124	C13	NA	0
SRR12380126	C11	NA	0
SRR12380128	C11	13	0
SRR12380129	C18	NA	0
SRR12380130	C11	NA	0
SRR12380131	C10	13	0
SRR12380132	C11	NA	0
SRR12380133	C07	NA	0
SRR12380134	C16	13	0
SRR12380135	C18	NA	0
SRR12380136	C16	NA	0
SRR12380138	C11	13	0
SRR12380139	C11	NA	1
SRR12380140	C11	NA	1
SRR12380141	C11	13	0
SRR12380142	C11	NA	0
SRR12380143	C11	NA	0
SRR12380144	C11	13	0
SRR12380145	C16	NA	0
SRR12380146	C11	NA	0
SRR12380147	C11	13	0
SRR12380150	C11	NA	0
SRR12380151	C07	NA	0
SRR12380152	C11	13	0
SRR12380153	C13	NA	0
SRR12380154	C08	NA	0
SRR12380155	C10	13	0
SRR12380156	C11	NA	0
SRR12380157	C11	NA	0
SRR12380159	C11	13	0
SRR12380160	C11	NA	0
SRR12380161	C11	NA	0
SRR12380162	C16	13	0
SRR12380163	C11	NA	0
SRR12380164	C18	NA	0
SRR12380165	C11	13	1
SRR12380166	C11	NA	0
SRR12380167	C11	NA	0
SRR12380168	C11	13	0
SRR12380169	C08	NA	0
SRR12380172	C11	NA	0
SRR12380173	C11	13	0
SRR12380174	C11	NA	0
SRR12380175	C11	NA	0
SRR12380176	C11	13	0
SRR12380177	C11	NA	0
SRR12380179	C11	NA	0
SRR12380180	C08	13	0
SRR12380181	C18	NA	0
SRR12380183	C11	NA	0
SRR12380184	C11	13	0
SRR12380185	C11	NA	0
SRR12380186	C11	NA	0
SRR12380187	C11	13	0
SRR12380188	C11	NA	0
SRR12380189	C11	NA	0
SRR12380191	C11	13	0
SRR12380192	C13	NA	0
SRR12380195	C16	NA	0
SRR12380197	C11	13	0
SRR12380198	C11	NA	0
SRR12380199	C11	NA	0
SRR12380200	C11	13	0
SRR12380201	C11	NA	0
SRR12380202	C14	NA	0
SRR12380203	C11	13	1
SRR12380204	C18	NA	0
SRR12380205	C08	NA	0
SRR12380207	C11	13	0
SRR12380208	C18	NA	0
SRR12380209	C18	NA	0
SRR12380210	C18	13	1
SRR12380211	C08	NA	0
SRR12380212	C11	NA	0
SRR12380213	C11	13	0
SRR12380216	C11	NA	0
SRR12380217	C18	NA	0
SRR12380219	C11	13	0
SRR12380220	C11	NA	0
SRR12380221	C16	NA	0
SRR12380222	C18	13	0
SRR12380223	C01	NA	0
SRR12380224	C11	NA	0
SRR12380225	C07	13	0
SRR12380227	C11	NA	0
SRR12380228	C11	NA	0
SRR12380229	C11	13	0
SRR12380230	C11	NA	0
SRR12380233	C16	NA	0
SRR12380235	C08	13	0
SRR12380237	C11	NA	0
SRR12380238	C08	NA	0
SRR12380239	C11	13	0
SRR12380240	C11	NA	0
SRR12380241	C11	NA	0
SRR12380243	C11	13	0
SRR12380244	C11	NA	0
SRR12380245	C18	NA	1
SRR12380246	C11	13	0
SRR12380247	C11	NA	0
SRR12380248	C11	NA	0
SRR12380249	C11	13	0
SRR12380250	C16	NA	0
SRR12380251	C11	NA	0
SRR12380252	C11	13	0
SRR12380253	C11	NA	0
SRR12380254	C07	NA	0
SRR12380255	C07	13	0
SRR12380256	C11	NA	0
SRR12380257	C11	NA	0
SRR12380258	C01	13	0
SRR12380259	C16	NA	0
SRR12380261	C11	NA	1
SRR12380263	C17	12	0
SRR12380264	C08	NA	0
SRR12380265	C11	NA	0
SRR12380266	C18	12	0
SRR12380267	C11	NA	0
SRR12380268	C11	NA	0
SRR12380269	C11	12	0
SRR12380270	C11	NA	0
SRR12380272	C11	NA	0
SRR12380273	C11	13	0
SRR12380274	C11	NA	0
SRR12380275	C11	NA	0
SRR12380276	C02	13	1
SRR12380277	C18	NA	0
SRR12380278	C18	NA	0
SRR12380279	C11	13	0
SRR12380280	C16	NA	1
SRR12380281	C11	NA	0
SRR12380283	C02	13	0
SRR12380284	C08	NA	0
SRR12380285	C11	NA	0
SRR12380286	C11	13	0
SRR12380287	C16	NA	0
SRR12380288	C11	NA	0
SRR12380289	C10	11	0
SRR12380290	C08	NA	0
SRR12380291	C10	NA	0
SRR12380292	C18	13	0
SRR12380294	C18	NA	0
SRR12380295	C11	NA	0
SRR12380296	C11	13	0
SRR12380297	C11	NA	0
SRR12380298	C18	NA	0
SRR12380299	C11	13	0
SRR12380300	C11	NA	0
SRR12380301	C11	NA	0
SRR12380303	C11	13	0
SRR12380304	C11	NA	0
SRR12380305	C11	NA	0
SRR12380306	C03	13	0
SRR12380307	C04	NA	0
SRR12380308	C18	NA	0
SRR12380309	C11	16	0
SRR12380310	C11	NA	0
SRR12380311	C18	NA	0
SRR12380312	C14	16	0
SRR12380313	C11	NA	0
SRR12380314	C11	NA	0
SRR12380316	C11	16	0
SRR12380317	C08	NA	0
SRR12380318	C11	NA	0
SRR12380319	C10	16	1
SRR12380320	C11	NA	0
SRR12380321	C13	NA	0
SRR12380322	C11	16	0
SRR12380323	C18	NA	0
SRR12380324	C11	NA	0
SRR12380325	C18	15	0
SRR12380327	C04	NA	0
SRR12380328	C11	NA	0
SRR12380329	C11	15	0
SRR12380330	C11	NA	0
SRR12380331	C11	NA	0
SRR12380332	C11	15	0
SRR12380333	C11	NA	0
SRR12380334	C18	NA	0
SRR12380335	C11	16	0
SRR12380336	C11	NA	0
SRR12380338	C08	NA	0
SRR12380339	C11	16	0
SRR12380340	C18	NA	0
SRR12380341	C18	NA	0
SRR12380342	C10	16	0
SRR12380343	C18	NA	0
SRR12380344	C11	NA	0
SRR12380345	C11	16	0
SRR12380346	C11	NA	0
SRR12380347	C11	NA	0
SRR12380348	C11	16	0
SRR12380350	C11	NA	0
SRR12380351	C11	NA	0
SRR12380352	C11	16	0
SRR12380353	C18	NA	0
SRR12380354	C11	NA	0
SRR12380355	C11	15	0
SRR12380356	C11	NA	0
SRR12380357	C10	NA	0
SRR12380358	C11	15	0
SRR12380359	C11	NA	0
SRR12474733	C08	NA	0
SRR12486921	C08	NA	0
