	Cluster	week	outlier
SRR11779974	C02	NA	0
SRR11779975	C12	NA	0
SRR11779976	C02	NA	0
SRR11779977	C02	NA	0
SRR11779978	C02	NA	0
SRR11779979	C02	NA	0
SRR11779980	C12	NA	0
SRR11779981	C11	NA	0
SRR11779982	C12	NA	0
SRR11779983	C04	NA	0
SRR11779985	C02	NA	0
SRR11779986	C02	NA	0
SRR11779987	C11	NA	0
SRR11779988	C02	NA	0
SRR11779991	C02	NA	0
SRR11779992	C11	NA	0
SRR11779993	C02	NA	0
SRR11779994	C02	NA	0
SRR11779995	C02	NA	0
SRR11779997	C11	NA	0
SRR11779998	C11	NA	0
SRR11779999	C15	NA	0
SRR11780000	C11	NA	0
SRR11780001	C11	NA	0
SRR11780002	C12	NA	0
SRR11780003	C15	NA	0
SRR11780004	C11	NA	0
SRR11780006	C02	NA	0
SRR11780007	C15	NA	0
SRR11780008	C15	NA	0
SRR11780010	C11	NA	0
SRR11780011	C11	NA	0
SRR11780012	C12	NA	0
SRR11780014	C15	NA	0
SRR11780016	C11	NA	0
SRR11780017	C15	NA	0
SRR11780018	C15	NA	0
SRR11780019	C15	NA	0
SRR11780020	C11	NA	0
SRR11780021	C12	NA	0
SRR11780022	C18	NA	0
SRR11780023	C15	NA	0
SRR11780024	C15	NA	0
SRR11780025	C11	NA	0
SRR11780026	C11	NA	0
SRR11780027	C11	NA	0
SRR11780031	C11	NA	0
SRR11780032	C12	NA	0
SRR11780035	C12	NA	0
SRR11780036	C11	NA	0
SRR11780037	C02	NA	0
SRR11780038	C12	NA	0
SRR11780039	C12	NA	0
SRR11780040	C11	NA	0
SRR11780041	C12	NA	0
SRR11780042	C11	NA	0
SRR11780043	C11	NA	0
SRR11780045	C12	NA	0
SRR11780046	C10	NA	0
SRR11780047	C12	NA	0
SRR11780048	C11	NA	0
SRR11780049	C02	NA	0
SRR11780050	C12	NA	0
SRR11780052	C12	NA	0
SRR11780054	C02	NA	0
SRR11780055	C15	NA	0
SRR11780056	C07	NA	0
SRR11780058	C02	NA	0
SRR11780059	C02	NA	0
SRR11780060	C11	NA	0
SRR11780062	C15	NA	0
SRR11780063	C11	NA	0
SRR11780064	C12	NA	0
SRR11780066	C11	NA	0
SRR11780067	C09	NA	0
SRR11780068	C10	NA	0
SRR11780069	C02	NA	0
SRR11780070	C01	NA	0
SRR11780074	C11	NA	0
SRR11780075	C10	NA	0
SRR11780076	C12	NA	0
SRR11780077	C12	NA	0
SRR11780078	C11	NA	0
SRR11780079	C12	NA	0
SRR11780080	C12	NA	0
SRR11780081	C02	NA	0
SRR11780087	C11	NA	0
SRR11780089	C04	NA	0
SRR11780090	C07	NA	0
SRR11780094	C12	NA	0
SRR11780095	C15	NA	0
SRR11780097	C12	NA	0
SRR11780098	C08	NA	0
SRR11780099	C01	NA	0
SRR11780101	C02	NA	0
SRR11780102	C12	NA	0
SRR11780104	C12	NA	0
SRR11780105	C02	NA	0
SRR11780106	C11	NA	0
SRR11780107	C02	NA	0
SRR11780108	C02	NA	0
SRR11780109	C02	NA	0
SRR11780110	C02	NA	0
SRR11780111	C02	NA	0
SRR11780113	C02	NA	0
SRR11780114	C11	NA	0
SRR11780115	C02	NA	0
SRR11780116	C07	NA	0
SRR11903414	C04	NA	0
SRR11939535	C02	NA	0
SRR11939536	C09	NA	0
